# WebDab output on Thu Jun 14 15:40:21 2018
# Format: ISO2;YEAR;SECTOR;POLLUTANT;UNIT;NUMBER/FLAG
NOS;2002;N14 G_Shipping;NOx;Gg;741.871642222835
BLS;2002;N14 G_Shipping;NOx;Gg;99.4425773942815
MED;2002;N14 G_Shipping;NOx;Gg;1344.52392972534
ATL;2002;N14 G_Shipping;NOx;Gg;806.918972469539
BLS;2002;N14 G_Shipping;PM10;Gg;6.06273370237116
MED;2002;N14 G_Shipping;PM10;Gg;89.7078959821701
ATL;2002;N14 G_Shipping;PM10;Gg;55.5087810537371
NOS;2002;N14 G_Shipping;PM10;Gg;40.377229905972
BAS;2002;N14 G_Shipping;PM10;Gg;16.5481076079811
BLS;2002;N14 G_Shipping;PM2.5;Gg;5.75774725956468
NOS;2002;N14 G_Shipping;PM2.5;Gg;37.788679621431
BAS;2002;N14 G_Shipping;PM2.5;Gg;15.5531840169028
MED;2002;N14 G_Shipping;PM2.5;Gg;83.9660403690081
ATL;2002;N14 G_Shipping;PM2.5;Gg;52.8416017574796
MED;2002;N14 G_Shipping;PMcoarse;Gg;5.741855613162
ATL;2002;N14 G_Shipping;PMcoarse;Gg;2.6671792962575
NOS;2002;N14 G_Shipping;PMcoarse;Gg;2.588550284541
BLS;2002;N14 G_Shipping;PMcoarse;Gg;0.30498644280648
BAS;2002;N14 G_Shipping;PMcoarse;Gg;0.994923591078299
NOS;2002;N14 G_Shipping;SOx;Gg;394.1949481151
MED;2002;N14 G_Shipping;SOx;Gg;619.866817873032
ATL;2002;N14 G_Shipping;SOx;Gg;398.048144449027
BLS;2002;N14 G_Shipping;SOx;Gg;39.2633216266716
BAS;2002;N14 G_Shipping;SOx;Gg;179.458020853207
NOS;2003;N14 G_Shipping;CO;Gg;57.9992877157023
MED;2003;N14 G_Shipping;CO;Gg;111.919949083924
BAS;2003;N14 G_Shipping;CO;Gg;23.6669236514843
ATL;2003;N14 G_Shipping;CO;Gg;67.7233467435141
BLS;2003;N14 G_Shipping;CO;Gg;8.56395988915016
ATL;2003;N14 G_Shipping;NMVOC;Gg;7.38184479504304
BAS;2003;N14 G_Shipping;NMVOC;Gg;2.57969467801179
BLS;2003;N14 G_Shipping;NMVOC;Gg;0.933471627917367
