#Experiment leaf_age fumigation o3_mean o3_sigma gs_mean gs_sigma A_mean A_sigma Rd_mean Rd_sigma Ci_mean Ci_sigma Vcmax_mean Vcmax_sigma Jmax_mean Jmax_sigma Chl_a+b_mean Chl_a+b_sigma
S1_O3_36_1 22 16.21 36.1 7.22 361.312942457796 11.7315302232711 11.1893376742293 0.443585308780143 na na na na 61.0842141152403 3.64814183429939 92.5127681307457 5.87334014300302 na na
S1_O3_36_2 22 16.21 36.1 7.22 360.448992557633 42.3335451080049 11.7946891850646 0.846474717672194 na na na na 75.9495397204228 3.37538356631433 105.669050051073 4.04494382022472 na na
S1_O3_68_1 22 16.21 71.5 14.3 396.462062080233 42.3790161553822 10.100722352223 0.443585308780143 na na na na 54.4630071599045 2.70030685305153 84.4126659856997 4.24923391215521 na na
S1_O3_68_2 22 16.21 71.5 14.3 357.720729715012 34.2396986748956 11.7743412351206 0.846474717672194 na na na na 70.5421070576201 5.94613024207308 103.64657814096 5.26046986721144 na na
S2_O3_36_1 64 16.39 36.1 7.22 352.309675077146 60.3855509166823 8.52782582154848 0.625699460779344 na na na na 45.1414933515172 4.9982952608251 70.0408580183861 6.68028600612877 na na
S2_O3_36_2 64 16.39 36.1 7.22 410.876384098747 82.9391904156834 7.70169905382033 0.645030013226162 na na na na 47.1667234913058 4.32321854756219 64.7803881511746 4.65781409601641 na na
S2_O3_68_1 64 16.39 71.5 14.3 358.630150662552 29.7380649845709 6.06877607081087 0.604334113338084 na na na na 30.2761677463347 3.91408114558476 48.7844739530133 4.05515832482138 na na
S2_O3_68_2 64 16.39 71.5 14.3 355.037937919768 42.3335451080052 7.43921049954218 0.726421813002332 na na na na 39.4613024207296 5.27105352881017 62.1450459652708 7.89581205311526 na na
S3_O3_36_1 105 15.75 36.1 7.22 351.400254129606 35.1491196224361 8.68959202360362 1.16898972428528 na na na na 51.6263211728606 12.1581997954313 77.3340143003065 12.9519918283963 na na
S3_O3_36_2 105 15.75 36.1 7.22 368.542838990743 88.3047740061716 10.080374402279 2.19757859395665 na na na na 62.4343675417661 15.6767814524378 94.9438202247191 23.2788559754853 na na
S3_O3_68_1 105 15.75 71.5 14.3 283.830277727355 37.8319114176798 4.73802014447044 0.221792654390086 na na na na 21.0842141152403 1.21377429253323 37.6506639427988 1.8283963227783 na na
S3_O3_68_2 105 15.75 71.5 14.3 256.820475585406 45.9257578507895 6.06877607081087 0.745752365449192 na na na na 46.0825093760654 10.4057279236276 62.1450459652708 10.3268641470887 na na
